member_casual,hour_of_day,rides
casual,0,36261
casual,1,23283
casual,2,15331
casual,3,8636
casual,4,6946
casual,5,10977
casual,6,26207
casual,7,48573
casual,8,69145
casual,9,68870
casual,10,83393
casual,11,106127
casual,12,124521
casual,13,127515
casual,14,133992
casual,15,148660
casual,16,169075
casual,17,183003
casual,18,156908
casual,19,116143
casual,20,83891
casual,21,71151
casual,22,60266
casual,23,43014
member,0,31165
member,1,19033
member,2,11332
member,3,7658
member,4,8631
member,5,33496
member,6,100132
member,7,197974
member,8,254248
member,9,165910
member,10,143145
member,11,167065
member,12,188387
member,13,183835
member,14,186836
member,15,234063
member,16,329266
member,17,374198
member,18,289489
member,19,199773
member,20,138267
member,21,107871
member,22,78626
member,23,48802
